review,ID,리뷰수(유저),평균별점,별점(유저),별점,리뷰수,상호명,주소,감성점수
맛있다 뭔가 물리다 느낌 있다,정재훈,19,4.4,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
맛있다 오늘 무슨 메뉴 나오다 알고싶다,rara,29,4.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
선물 으로 주문 제작 하다 정성 스럽게 글씨 자다 써주다 감동 이에요 주문 하다 싶다,🐾🐾🐾,4,4.0,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
대학생 자주 가다 오랜 방문 역시 맛있다,도토리,129,4.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
라즈베리 루바 파이 맛있다 먹다 보고 싶다 재료 조합 이라 고름 맛있다 강의 상큼 근데 파이 끄트머리 타다 저걸 그대로 내놓다 이해 안감 조각 최소 하다 체리파이 먹다 보고 싶다 매장 내부 체리 통조림 있다 그냥 마음 접다 가격 조림 체리 먹다 ㅠㅠ 바닥 파이 좋다 얇다 페스트리 사용 하다 파삭 함루 바브 특성 인지 라즈베리 퓨레 써다 그렇다 라즈베리 형체 전혀 보이다 액체 넘치다 파이 가장자리 타다 생각 해보다 냉동 라즈베리 아니다 저렴하다 퓨레 사용 추측 되다 크다 럼블 파이 사이 리뷰 사진 펌킨파이 있다 레몬 머랭 이나 라즈베리 초콜릿 이렇다 있다 기대하다 가다 없다 많이 슬프다 커피 핵노맛 전체 으로 가격 심다 있다 동행 시키다 피칸 초콜릿 파이 맛있다,헿,177,3.6,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.45
로투스 최고,😎,39,4.1,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
레몬 머랭 타르트 존맛 레몬 애매하다 인데 존재 확실하다 그리고 무엇 보다도 파이 개인 으로 두껍다 불호 인데 여기다 필링 잡다 용도 존재 하다 취향 이다,다시돌아온검머외자칭미식가,110,4.0,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.0
다른 파이다 먹다 보다 모르다 펀킨 파이 맛있다 매장 에서 먹다 맛있다 부모님 드리다 포장 해오다 건강하다,haha,47,3.9,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
맛있다 친절하다 분위기 좋다 초코 들어가다 많다 다양하다 있다 좋다,mimm,234,3.9,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.83
생일 케이크 코코넛 크림 파이 주문 하다 굉장하다 맛있다 파이 종류 많다 분위기 좋다 ㅎㅎ,이식탐,20,3.6,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.8
근처 마르다 탕집 에서 터지다 먹다 가다 맛있다 파이 음료 쿠키 시키다 테잌 아웃 하다 하다 넘다 맛있다 자리 에서 먹다 치우다 에서 파이 만들다 먹다 맛있다 여기 파이 진짜 괜찮다,won,28,4.9,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.75
파이 맛집 이라고 보다 되다,내일은축구왕,281,4.8,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
얼그레이 파이 존맛,김민지,91,4.8,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
파이 전반 으로 맛있다 커피 맛있다 레몬 머렝 파이다 레몬 강하다 머렝 자다 느껴지다 정도 이다 맛있다 먹다,홍유나,2,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.75
초코 피칸 파이다 사랑,히히,21,4.4,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
학교 입학 하고 굴다리 근처 옛날 자리 부터 가다 확실하다 띄다 파이 크기 작아지다 커피 여전하다 없다 신촌 이만 디저트 카페 없다 하다 파이 없다 아니다 약간 아쉽다 마음,미린다,41,3.8,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-0.83
명성 하다 만큼 아니다 신촌 여자 끼리 갈다 카페 추천,👛,33,3.7,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
무난 무난 여전하다 사람 많다 얼음 작다 좋다 ㅎㅎ,머랭쿠키,195,4.3,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,1.67
으악 로투 스파이 진짜 맛있다 가나 파이 파이 러버,곽득칠,194,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
가격 보고 의심 하다 맛있다,용막골,112,3.6,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.5
긋다 커피 솔솔,쨍하고해뜰날,617,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
평점 보고 괜찮다 가다 흑임자 치즈케이크 진짜 맛없다 말차 마카 미아 맛있다 케이크 치즈 들어가다 맞다 싶다 정도 치즈 아예 나다 흑임자 뭔가 흑임자 나다 느낌 넘어서다 가다 주문 하다 있다 사람 많다 메뉴 하다 지다 고민 니까 직원 짜증 내다 같다 느낌 받다 서서 주문 하고 먹다 정도 카페 아니다 하다,오이,23,3.3,2,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
조금 달다 하지만 쾌적하다 맛있다 자다 보이다 카페 있다 말차 오레오 굉장하다 달다 달다 좋아하다 추천 펌킨 파이다 삼삼하다 달다 좋아하다 추천,맛도리,40,4.6,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
레몬 머랭 주문 하다 상큼 하다 달달 레몬 크림 바삭 타르트 어울리다 맛있다 인테리어 멋지다 까지 있다 넓다 쾌적하다 좋다,앤쮸,669,3.4,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
너무 달다 아프다 지경 ㅜㅜ,L,35,3.1,2,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,-1.5
오레오 말차 파이 마싯다,맹단비,34,4.5,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
카페 예쁘다 파이 맛있다,이지원,11,4.8,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
초콜릿 들어가다 메뉴 맛있다 초콜릿 들어가다 메뉴 별로,야호,42,3.0,3,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
한결같이 맛있다 사람 많다 매장 시끌시끌 정신 없다 조금 아쉽다 파이다 항상 맛있다,&,132,3.8,4,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.83
이번 모델링 하고 처음 가보다 인테리어 너무 이쁘다 자주 가다 인데 항상 맛있다 레몬 머랭 존맛,성신여대 대표 돼지,17,4.2,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,2.0
추억 공간 얼그레이 파이 먹다 싶다 홍대 까지 언제 가다 아아 ㅏㅏ,더기 아니고 덕이,33,4.4,5,4.0,299,더파이홀,서울 서대문구 연세로5나길 20 1층 (지번) 창천동 57-61,0.0
